country_code,country_name,year,SP.DYN.IMRT.IN,SH.DYN.MORT,NY.GDP.FRST.RT.ZS,shrinking_next_yr,SP.POP.DPND.OL,dev_SP.POP.2024.FE.5Y,SP.POP.2024.FE.5Y,SP.POP.3034.FE.5Y,NY.GNS.ICTR.GN.ZS,time_del_MS.MIL.XPND.GD.ZS,SP.DYN.TFRT.IN,EN.ATM.CO2E.PC,SP.POP.5559.FE.5Y,NE.IMP.GNFS.ZS,NY.GDS.TOTL.ZS,TM.VAL.FUEL.ZS.UN,FS.AST.PRVT.GD.ZS,SE.PRM.ENRR,NV.SRV.TETC.ZS,dev_AG.PRD.FOOD.XD,IT.CEL.SETS.P2,SP.DYN.CDRT.IN,time_diff_SP.POP.DPND,NY.ADJ.DCO2.GN.ZS,NV.IND.TOTL.ZS,SP.DYN.LE00.MA.IN,SP.DYN.TO65.MA.ZS,FI.RES.TOTL.MO,time_del_AG.PRD.CROP.XD,NY.GDP.DEFL.KD.ZG,SP.DYN.LE00.FE.IN,SP.RUR.TOTL.ZS,NE.TRD.GNFS.ZS,stupid_predictor
ESP,Spain,1988,10.1,11.9,0.061298097,0.0,19.22623581,-0.04339395699999926,8.004941208,6.878577421,23.60028639,-0.11946472800000008,1.45,5.134110768999999,5.937122007999999,19.36854093,23.19690434,11.38629123,73.70009262,104.61607359999999,54.87368616673421,-21.900000000000006,0.030015737,8.2,-0.7604269700000046,0.41239496200000003,30.982959174459886,73.43,78.00659,6.81909379,-12.680000000000007,5.936126193,80.23,25.1,36.75434858,0.0
ESP,Spain,1989,9.7,11.5,0.072835016,0.0,19.62652186,-0.027121735999999785,7.977819472,7.06761195,23.00810098,-0.12358816400000006,1.4,5.837882861000001,5.973062979,20.73667453,22.44336143,11.79553222,77.42608622,104.49189759999999,54.87368616673421,-16.939999999999998,0.07674367900000001,8.4,-0.7968891800000009,0.45430743799999995,30.982959174459886,73.36,78.09881,6.535110531,8.040000000000006,6.896194091,80.44,24.874000000000002,37.41871194,0.0
ESP,Spain,1990,9.3,11.0,0.048128302000000005,0.0,20.03529095,0.001551216999999383,7.979370689,7.226574865,22.55019389,-0.06327816800000008,1.36,5.624190007,5.924705915,19.84274922,22.61480836,11.65944301,76.46075838,104.47654720000001,54.87368616673421,-7.239999999999995,0.14067828300000002,8.6,-0.8587072699999965,0.36188740399999997,30.982959174459886,73.34,78.19102,6.120662897000001,4.019999999999996,7.326251187,80.51,24.649,35.64299658,0.0
ESP,Spain,1991,8.8,10.5,0.035068878,0.0,20.41945113,0.00624258700000091,7.9856132760000005,7.383255494,21.93658868,-0.1563936290000001,1.33,5.790484006,5.794927541,19.67500056,22.00494604,10.88685976,77.93918345,105.27970890000002,54.87368616673421,-10.519999999999996,0.278272537,8.7,-0.7587865300000018,0.36948100100000003,30.982959174459886,73.42,78.28324,6.962943093,-7.36999999999999,6.935139471,80.7,24.471999999999998,35.5113419,0.0
ESP,Spain,1992,8.5,10.1,0.031168585,1.0,20.79844065,0.018017552999999964,8.003630829,7.518749587,20.08618728,-0.08233096799999973,1.31,5.973836221,5.5858876010000005,19.74731488,20.42343136,10.10393963,76.21548245,104.6411667,54.87368616673421,-8.219999999999999,0.46135155899999997,8.5,-0.8173423599999978,0.36953207600000004,30.982959174459886,73.81,78.37546,4.440841088,3.839999999999989,6.710771216,81.19,24.39,36.01253333,0.0
ESP,Spain,1993,8.0,9.5,0.040135362,0.0,21.18911085,0.02145384299999975,8.025084672,7.630867795,19.80693313,-0.0294963290000001,1.26,5.5702888029999995,5.343008187,19.19922107,19.915083300000003,10.92428926,74.45858348,106.40854640000002,54.87368616673421,-11.489999999999995,0.656329161,8.6,-0.7946885600000044,0.43710937299999997,30.982959174459886,74.01,78.74671,5.079518223,-6.019999999999996,4.537241245,81.26,24.308000000000003,36.99307769,0.0
ESP,Spain,1994,7.5,8.9,0.043370999,0.0,21.61521959,0.01183507400000039,8.036919746,7.718206827,19.47268065,-0.010030390999999916,1.19,5.901638792999999,5.1379722260000005,21.28701406,20.62872999,9.437305352000001,71.05811074,106.067627,54.87368616673421,-14.829999999999998,1.047842335,8.6,-0.6564831499999997,0.490829191,30.982959174459886,74.36,79.11796,4.59467609,-5.429999999999993,3.879841988,81.62,24.226,41.69560426,0.0
ESP,Spain,1995,6.9,8.3,0.043504302,0.0,22.0870525,-0.005501653000001383,8.031418093,7.7803699239999995,21.78770007,-0.04105842800000015,1.16,6.082242269,5.015012197,22.8984384,21.40215136,8.355082379,70.37293996,104.9912872,65.12223028,-20.53,2.397111579,8.7,-0.4670708099999956,0.455237299,30.67104235,74.41,79.4892,3.1458285569999997,-10.56000000000001,4.93312973,81.73,24.144000000000002,44.83026623,0.0
ESP,Spain,1996,6.4,7.7,0.042494106,0.0,22.51392923,0.0013645630000009845,8.032782656,7.831836568,21.51728257,-0.10451484099999986,1.14,5.848744212000001,4.95753167,23.21001164,21.99052443,9.372002186,71.06678215,104.6987228,64.78408785,-1.6299999999999955,7.586339439,8.8,-0.3352083800000045,0.443603929,30.45257888,74.54,79.86045,4.564268695,28.35,3.470866941,81.88,24.061999999999998,46.32842342,0.0
ESP,Spain,1997,6.1,7.3,0.037205446,0.0,22.98957486,-0.008347500999999369,8.024435155,7.854235532000001,22.50668961,-0.08604337199999978,1.15,6.2928027339999995,4.979798198,25.53851084,22.698432,8.971146776,76.12003247,104.20501709999999,64.76779977,5.390000000000001,10.95273284,8.7,-0.2189400099999972,0.545555398,30.54548591,75.17,80.2317,5.163462806,10.079999999999998,2.381828025,82.21,23.980999999999998,51.29225228,0.0
